ticker,date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Preferred Stock Dividend Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Long Term Debt Payments,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Unrealized Gain Loss On Investment Securities,Amortization Of Securities,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations,Net Long Term Debt Issuance,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Capital Expenditure Reported,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Issuance Of Capital Stock,Common Stock Issuance,Net Short Term Debt Issuance,Dividends Received Cfi,Change In Other Current Liabilities,Change In Other Current Assets,Issuance Of Debt,Short Term Debt Payments,Long Term Debt Issuance,Dividend Received Cfo,Earnings Losses From Equity Investments,Gain Loss On Sale Of Business,Short Term Debt Issuance,Change In Tax Payable,Change In Income Tax Payable,Sale Of PPE,Change In Prepaid Assets,Provisionand Write Offof Assets,Other Cash Adjustment Outside Changein Cash,Change In Accrued Expense,Change In Interest Payable,Pension And Employee Benefit Expense,Net Foreign Currency Exchange Gain Loss,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash From Discontinued Operating Activities,Taxes Refund Paid,Interest Paid Cfo,Gain Loss On Sale Of PPE,Preferred Stock Payments,Sale Of Intangibles,Cash From Discontinued Financing Activities,Cash From Discontinued Investing Activities,Net Investment Properties Purchase And Sale,Sale Of Investment Properties,Purchase Of Investment Properties,Cash Flow From Discontinued Operation,Interest Received Cfi,Other Cash Adjustment Inside Changein Cash,Interest Paid Cff,Excess Tax Benefit From Stock Based Compensation,Depletion,Dividend Paid Cfo,Cash Flowsfromusedin Operating Activities Direct,Classesof Cash Payments,Other Cash Paymentsfrom Operating Activities,Paymentson Behalfof Employees,Classesof Cash Receiptsfrom Operating Activities,Other Cash Receiptsfrom Operating Activities
HIG,2025-06-30,1251000000.0,-415000000.0,,-40000000.0,42000000.0,520000000.0,219000000.0,216000000.0,-2000000.0,5000000.0,-543000000.0,-543000000.0,5000000.0,21000000.0,-154000000.0,-5000000.0,-149000000.0,-415000000.0,-415000000.0,,,-743000000.0,-743000000.0,-29000000.0,-365000000.0,2584000000.0,-2949000000.0,-209000000.0,59000000.0,-268000000.0,-40000000.0,-40000000.0,1291000000.0,1291000000.0,213000000.0,-200000000.0,-256000000.0,-256000000.0,-646000000.0,,625000000.0,94000000.0,30000000.0,30000000.0,995000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2025-03-31,947000000.0,-400000000.0,,-38000000.0,61000000.0,4000000.0,216000000.0,234000000.0,6000000.0,-24000000.0,-608000000.0,-608000000.0,1000000.0,-54000000.0,-155000000.0,-5000000.0,-150000000.0,-400000000.0,-400000000.0,,,-401000000.0,-401000000.0,-24000000.0,-258000000.0,2929000000.0,-3187000000.0,-121000000.0,56000000.0,-177000000.0,-38000000.0,-38000000.0,985000000.0,985000000.0,147000000.0,-504000000.0,-464000000.0,-464000000.0,-540000000.0,,607000000.0,92000000.0,49000000.0,49000000.0,630000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2024-12-31,1900000000.0,-414000000.0,,-38000000.0,43000000.0,149000000.0,234000000.0,281000000.0,-18000000.0,-29000000.0,-547000000.0,-547000000.0,3000000.0,6000000.0,-142000000.0,-5000000.0,-137000000.0,-414000000.0,-414000000.0,,,-1356000000.0,-1356000000.0,19000000.0,-1343000000.0,2883000000.0,-4226000000.0,-87000000.0,102000000.0,-189000000.0,26000000.0,26000000.0,1874000000.0,1874000000.0,797000000.0,42000000.0,46000000.0,46000000.0,-468000000.0,,591000000.0,84000000.0,-73000000.0,-73000000.0,853000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2024-09-30,1618000000.0,-400000000.0,,-60000000.0,62000000.0,206000000.0,281000000.0,210000000.0,2000000.0,69000000.0,-520000000.0,-520000000.0,-1000000.0,25000000.0,-144000000.0,-6000000.0,-138000000.0,-400000000.0,-400000000.0,,,-1089000000.0,-1089000000.0,-27000000.0,-820000000.0,2646000000.0,-3466000000.0,-126000000.0,35000000.0,-161000000.0,-60000000.0,-60000000.0,1678000000.0,1678000000.0,799000000.0,191000000.0,166000000.0,166000000.0,-571000000.0,-26000000.0,585000000.0,85000000.0,39000000.0,39000000.0,767000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2024-06-30,1199000000.0,-350000000.0,,-61000000.0,54000000.0,455000000.0,210000000.0,322000000.0,-4000000.0,-108000000.0,-480000000.0,-480000000.0,-3000000.0,18000000.0,-145000000.0,-5000000.0,-140000000.0,-350000000.0,-350000000.0,,,-888000000.0,-888000000.0,-27000000.0,-584000000.0,3166000000.0,-3750000000.0,-89000000.0,69000000.0,-158000000.0,-61000000.0,-61000000.0,1260000000.0,1260000000.0,400000000.0,-298000000.0,-339000000.0,-339000000.0,-558000000.0,-26000000.0,561000000.0,60000000.0,123000000.0,123000000.0,738000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2024-03-31,1199000000.0,-350000000.0,,-50000000.0,54000000.0,455000000.0,210000000.0,322000000.0,-4000000.0,-108000000.0,-480000000.0,-480000000.0,-3000000.0,18000000.0,-145000000.0,-5000000.0,-140000000.0,-350000000.0,-350000000.0,,,-888000000.0,-888000000.0,-27000000.0,-584000000.0,3166000000.0,-3750000000.0,-89000000.0,69000000.0,-158000000.0,-61000000.0,-61000000.0,1260000000.0,1260000000.0,400000000.0,-298000000.0,-339000000.0,-339000000.0,-558000000.0,-26000000.0,561000000.0,60000000.0,123000000.0,123000000.0,738000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2023-12-31,1199000000.0,-350000000.0,0.0,-50000000.0,54000000.0,455000000.0,210000000.0,322000000.0,-4000000.0,-108000000.0,-480000000.0,-480000000.0,-3000000.0,18000000.0,-145000000.0,-5000000.0,-140000000.0,-350000000.0,-350000000.0,0.0,0.0,-888000000.0,-888000000.0,-10000000.0,-584000000.0,3166000000.0,-3750000000.0,-89000000.0,69000000.0,-158000000.0,-61000000.0,-61000000.0,1260000000.0,1260000000.0,400000000.0,-298000000.0,-339000000.0,-339000000.0,-558000000.0,-26000000.0,561000000.0,60000000.0,123000000.0,123000000.0,738000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,2025-06-30,246000000.0,-334700000.0,0.0,-68200000.0,12300000.0,22500000.0,1185900000.0,1387800000.0,,-201900000.0,-438600000.0,-438600000.0,,0.0,-103900000.0,,-103900000.0,-334700000.0,-334700000.0,0.0,0.0,-77500000.0,-77500000.0,0.0,-9300000.0,126600000.0,-135900000.0,,,,,,314200000.0,314200000.0,37900000.0,67300000.0,-24300000.0,,-1100000.0,,,115900000.0,,,105000000.0,0.0,-6700000.0,-6700000.0,-61500000.0,21700000.0,21700000.0,21700000.0,-26800000.0,55100000.0,0.0,1400000.0,1400000.0,115900000.0,45800000.0,45800000.0,70100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,2025-03-31,363300000.0,-500600000.0,0.0,-46100000.0,400000.0,111700000.0,1387800000.0,1602500000.0,,-214700000.0,-591200000.0,-591200000.0,,20000000.0,-110600000.0,,-110600000.0,-500600000.0,-500600000.0,0.0,0.0,-32900000.0,-32900000.0,100000.0,13100000.0,142400000.0,-129300000.0,,,,,,409400000.0,409400000.0,143600000.0,-60400000.0,148100000.0,,0.0,,,114200000.0,,,68700000.0,0.0,-7600000.0,-7600000.0,-38500000.0,30800000.0,30800000.0,30800000.0,25100000.0,62700000.0,0.0,20200000.0,20200000.0,114200000.0,45600000.0,45600000.0,68600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,2024-12-31,328400000.0,-38300000.0,0.0,-48800000.0,12000000.0,3300000.0,1602500000.0,1368600000.0,,233900000.0,-150800000.0,-150800000.0,,0.0,-112500000.0,,-112500000.0,-38300000.0,-38300000.0,0.0,0.0,7500000.0,7500000.0,2100000.0,54200000.0,204900000.0,-150700000.0,,,,,,377200000.0,377200000.0,51200000.0,-4600000.0,-11200000.0,,-2600000.0,,,116000000.0,,,162000000.0,0.0,-9800000.0,-9800000.0,-39000000.0,-19900000.0,-19900000.0,-19900000.0,86900000.0,51100000.0,0.0,-500000.0,-500000.0,116000000.0,48400000.0,48400000.0,67600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,2024-09-30,387400000.0,-1900000.0,0.0,-88700000.0,600000.0,26900000.0,1368600000.0,1263400000.0,,105200000.0,-99500000.0,-99500000.0,,14400000.0,-112000000.0,,-112500000.0,-1900000.0,-1900000.0,0.0,0.0,-271400000.0,-271400000.0,1300000.0,-184000000.0,61200000.0,-245200000.0,,,,,,476100000.0,476100000.0,238800000.0,91400000.0,98500000.0,,-1700000.0,,,115400000.0,,,60500000.0,0.0,-5900000.0,-5900000.0,-82800000.0,10000000.0,10000000.0,10000000.0,38900000.0,38200000.0,131100000.0,-106200000.0,-106200000.0,115400000.0,46900000.0,46900000.0,68500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,2024-06-30,244000000.0,-78300000.0,0.0,-29400000.0,12400000.0,24500000.0,1263400000.0,1205400000.0,,58000000.0,-187400000.0,-187400000.0,,0.0,-109100000.0,,-109100000.0,-78300000.0,-78300000.0,0.0,0.0,-28000000.0,-28000000.0,5900000.0,-4500000.0,9900000.0,-14400000.0,,,,,,273400000.0,273400000.0,-100000.0,-25600000.0,7900000.0,,-4100000.0,,,112300000.0,,,120900000.0,0.0,-5000000.0,-5000000.0,-24400000.0,3800000.0,3800000.0,3800000.0,13800000.0,42800000.0,700000.0,900000.0,900000.0,112300000.0,46000000.0,46000000.0,66300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,2024-03-31,244000000.0,-78300000.0,0.0,-29400000.0,12400000.0,24500000.0,1263400000.0,1205400000.0,,58000000.0,-187400000.0,-187400000.0,,0.0,-109100000.0,,-109100000.0,-78300000.0,-78300000.0,0.0,0.0,-28000000.0,-28000000.0,5900000.0,-4500000.0,9900000.0,-14400000.0,,,,,,273400000.0,273400000.0,-100000.0,-25600000.0,7900000.0,,-4100000.0,,,112300000.0,,,120900000.0,0.0,-5000000.0,-5000000.0,-24400000.0,3800000.0,3800000.0,3800000.0,13800000.0,42800000.0,700000.0,900000.0,900000.0,112300000.0,46000000.0,46000000.0,66300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
