ticker,date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Normalized EBITDA,Reconciled Cost Of Revenue,EBITDA,Total Operating Income As Reported,Other Non Operating Income Expenses,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Minority Interests,Write Off,Gain On Sale Of Security,General And Administrative Expense,Other Gand A,Interest Income,Otherunder Preferred Stock Dividend,Net Income Discontinuous Operations,Gain On Sale Of Business,Impairment Of Capital Assets,Earnings From Equity Interest,Interest Income Non Operating,Selling And Marketing Expense,Rent Expense Supplemental,Gain On Sale Of Ppe,Other Special Charges,Total Other Finance Cost,Other Taxes,Earnings From Equity Interest Net Of Tax,Depreciation Income Statement,Salaries And Wages,Excise Taxes,Average Dilution Earnings,Insurance And Claims,Rent And Landing Fees,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense,Provision For Doubtful Accounts,Securities Amortization,Policyholder Benefits Gross,Net Income From Tax Loss Carryforward,Depletion Income Statement,Net Income Extraordinary,Policyholder Benefits Ceded
HIG,2025-06-30,0.0,0.201445,0.0,0.0,995000000.0,94000000.0,1296000000.0,-50000000.0,50000000.0,995000000.0,995000000.0,5728000000.0,287700000.0,283700000.0,3.44,3.49,990000000.0,990000000.0,5000000.0,995000000.0,995000000.0,995000000.0,251000000.0,1246000000.0,30000000.0,0.0,0.0,-50000000.0,50000000.0,,17000000.0,17000000.0,6974000000.0,6974000000.0,5049000000.0,5049000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2025-03-31,0.0,0.195402,0.0,0.0,630000000.0,92000000.0,833000000.0,-50000000.0,50000000.0,630000000.0,630000000.0,5988000000.0,290800000.0,286600000.0,2.15,2.18,625000000.0,625000000.0,5000000.0,630000000.0,630000000.0,630000000.0,153000000.0,783000000.0,22000000.0,0.0,0.0,-50000000.0,50000000.0,,18000000.0,18000000.0,6771000000.0,6771000000.0,5352000000.0,5352000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2024-12-31,0.0,0.205773,0.0,0.0,853000000.0,84000000.0,1124000000.0,-50000000.0,50000000.0,853000000.0,853000000.0,5726000000.0,294200000.0,289300000.0,2.88,2.93,848000000.0,848000000.0,5000000.0,853000000.0,853000000.0,853000000.0,221000000.0,1074000000.0,19000000.0,0.0,0.0,-50000000.0,50000000.0,0.0,18000000.0,18000000.0,6800000000.0,6800000000.0,5146000000.0,5146000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2024-09-30,-194327.731092,0.194328,-1000000.0,-1000000.0,767000000.0,85000000.0,1001000000.0,-49000000.0,49000000.0,767805672.268908,767000000.0,5762000000.0,297500000.0,292600000.0,2.56,2.6,761000000.0,761000000.0,6000000.0,767000000.0,767000000.0,767000000.0,185000000.0,952000000.0,24000000.0,-1000000.0,1000000.0,-49000000.0,49000000.0,0.0,18000000.0,18000000.0,6714000000.0,6714000000.0,5146000000.0,5146000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2024-06-30,0.0,0.190789,0.0,0.0,738000000.0,60000000.0,962000000.0,-50000000.0,50000000.0,738000000.0,738000000.0,5558000000.0,299900000.0,295500000.0,2.44,2.48,733000000.0,733000000.0,5000000.0,738000000.0,738000000.0,738000000.0,174000000.0,912000000.0,26000000.0,0.0,0.0,-50000000.0,50000000.0,0.0,17000000.0,17000000.0,6470000000.0,6470000000.0,4946000000.0,4946000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2024-03-31,0.0,0.190789,0.0,0.0,738000000.0,60000000.0,962000000.0,-50000000.0,50000000.0,738000000.0,738000000.0,5558000000.0,299900000.0,295500000.0,2.44,2.48,733000000.0,733000000.0,5000000.0,738000000.0,738000000.0,738000000.0,174000000.0,912000000.0,26000000.0,0.0,0.0,-50000000.0,50000000.0,-3000000.0,17000000.0,17000000.0,6470000000.0,6470000000.0,4946000000.0,4946000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2023-12-31,0.0,0.190789,0.0,0.0,738000000.0,60000000.0,962000000.0,-50000000.0,50000000.0,738000000.0,738000000.0,5558000000.0,299900000.0,295500000.0,2.44,2.48,733000000.0,733000000.0,5000000.0,738000000.0,738000000.0,738000000.0,174000000.0,912000000.0,26000000.0,0.0,0.0,-50000000.0,50000000.0,5000000.0,17000000.0,17000000.0,6470000000.0,6470000000.0,4946000000.0,4946000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,2025-06-30,-93750.0,0.0625,-1500000.0,-1500000.0,105000000.0,115900000.0,118600000.0,-6600000.0,6600000.0,106406250.0,105000000.0,852900000.0,150300000.0,150000000.0,0.7,0.7,105000000.0,105000000.0,,105000000.0,105000000.0,105000000.0,7000000.0,112000000.0,6500000.0,-1500000.0,,-6600000.0,6600000.0,,200000.0,200000.0,965000000.0,965000000.0,,,236000000.0,448300000.0,234500000.0,110600000.0,8000000.0,112100000.0,288900000.0,200000.0,200000.0,199400000.0,89300000.0,401000000.0,564000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,2025-03-31,-6448400.0,0.329,-19600000.0,-19600000.0,68700000.0,114200000.0,109200000.0,-6800000.0,6800000.0,81851600.0,68700000.0,836300000.0,158800000.0,158500000.0,0.43,0.43,68700000.0,68700000.0,,68700000.0,68700000.0,68700000.0,33700000.0,102400000.0,-7700000.0,-19600000.0,,-6800000.0,6800000.0,,200000.0,200000.0,953200000.0,953200000.0,,,243000000.0,447600000.0,223400000.0,97300000.0,11900000.0,116900000.0,274700000.0,200000.0,200000.0,186500000.0,88000000.0,391600000.0,561600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,2024-12-31,-238400.0,0.149,-1600000.0,-1600000.0,162000000.0,116000000.0,197200000.0,-6800000.0,6800000.0,163361600.0,162000000.0,885800000.0,161400000.0,160400000.0,1.0,1.01,162000000.0,162000000.0,,162000000.0,162000000.0,162000000.0,28400000.0,190400000.0,14500000.0,-1600000.0,1600000.0,-6800000.0,6800000.0,,200000.0,200000.0,1068500000.0,1068500000.0,,,314800000.0,510800000.0,313200000.0,181100000.0,16100000.0,182700000.0,259200000.0,200000.0,200000.0,176400000.0,82600000.0,441900000.0,626600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
