ticker,date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations,Interest Paid Supplemental Data,Effect Of Exchange Rate Changes,Preferred Stock Dividend Paid,Net Business Purchase And Sale,Sale Of Business,Sale Of PPE,Change In Other Working Capital,Unrealized Gain Loss On Investment Securities,Asset Impairment Charge,Operating Gains Losses,Gain Loss On Investment Securities,Short Term Debt Issuance,Purchase Of Business,Change In Accrued Expense,Deferred Tax,Deferred Income Tax,Issuance Of Capital Stock,Common Stock Issuance,Capital Expenditure Reported,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Gain Loss On Sale Of Business,Net Preferred Stock Issuance,Preferred Stock Payments,Preferred Stock Issuance,Earnings Losses From Equity Investments,Proceeds From Stock Option Exercised,Dividends Received Cfi,Amortization Of Securities,Net Foreign Currency Exchange Gain Loss,Change In Prepaid Assets,Cash From Discontinued Operating Activities,Dividend Received Cfo,Change In Tax Payable,Change In Income Tax Payable,Depletion,Excess Tax Benefit From Stock Based Compensation,Provisionand Write Offof Assets,Cash From Discontinued Financing Activities,Cash From Discontinued Investing Activities,Taxes Refund Paid,Other Cash Adjustment Outside Changein Cash,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Pension And Employee Benefit Expense,Cash Flow From Discontinued Operation,Interest Received Cfo,Interest Paid Cfo,Change In Interest Payable,Gain Loss On Sale Of PPE
AAPL,2025-06-30,24405000000.0,-21075000000.0,-1770000000.0,,-3462000000.0,5649000000.0,36269000000.0,28162000000.0,8107000000.0,-24833000000.0,-24833000000.0,-2524000000.0,-3945000000.0,-3945000000.0,-21075000000.0,-21075000000.0,2711000000.0,3903000000.0,3903000000.0,-1192000000.0,-5673000000.0,,5073000000.0,5073000000.0,-340000000.0,8875000000.0,14024000000.0,-5149000000.0,-3462000000.0,-3462000000.0,27867000000.0,27867000000.0,-2034000000.0,418000000.0,-1745000000.0,-3875000000.0,-3875000000.0,-3875000000.0,365000000.0,2803000000.0,-1581000000.0,469000000.0,3168000000.0,2830000000.0,2830000000.0,23434000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2025-03-31,20881000000.0,-25898000000.0,976000000.0,,-3071000000.0,13032000000.0,28162000000.0,30299000000.0,-2137000000.0,-29006000000.0,-29006000000.0,-326000000.0,-3758000000.0,-3758000000.0,-25898000000.0,-25898000000.0,976000000.0,3976000000.0,3976000000.0,-3000000000.0,-3000000000.0,,2917000000.0,2917000000.0,-32000000.0,6020000000.0,12338000000.0,-6318000000.0,-3071000000.0,-3071000000.0,23952000000.0,23952000000.0,-6507000000.0,-3581000000.0,-5310000000.0,-7933000000.0,-7933000000.0,-7933000000.0,643000000.0,9674000000.0,3669000000.0,-208000000.0,3226000000.0,2661000000.0,2661000000.0,24780000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-12-31,26995000000.0,-23606000000.0,-8953000000.0,,-2940000000.0,18651000000.0,30299000000.0,29943000000.0,356000000.0,-39371000000.0,-39371000000.0,-2956000000.0,-3856000000.0,-3856000000.0,-23606000000.0,-23606000000.0,-8953000000.0,-7944000000.0,-7944000000.0,-1009000000.0,-1009000000.0,,9792000000.0,9792000000.0,-603000000.0,13335000000.0,19459000000.0,-6124000000.0,-2940000000.0,-2940000000.0,29935000000.0,29935000000.0,-10752000000.0,-11998000000.0,939000000.0,-6671000000.0,-6671000000.0,-6671000000.0,215000000.0,6763000000.0,3597000000.0,-2009000000.0,3286000000.0,3080000000.0,3080000000.0,36330000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-09-30,23903000000.0,-25083000000.0,427000000.0,0.0,-2908000000.0,6872000000.0,29943000000.0,26635000000.0,3308000000.0,-24948000000.0,-24948000000.0,-448000000.0,-3804000000.0,-3804000000.0,-25083000000.0,-25083000000.0,4387000000.0,6945000000.0,-7944000000.0,-2558000000.0,-2558000000.0,0.0,1445000000.0,1445000000.0,-191000000.0,4544000000.0,15126000000.0,-10582000000.0,-2908000000.0,-2908000000.0,26811000000.0,26811000000.0,6608000000.0,15550000000.0,-6105000000.0,21191000000.0,21191000000.0,21191000000.0,-1087000000.0,-22941000000.0,-10485000000.0,-302000000.0,2858000000.0,2911000000.0,2911000000.0,14736000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-06-30,26707000000.0,-26522000000.0,-3253000000.0,0.0,-2151000000.0,4699000000.0,26635000000.0,33921000000.0,-7286000000.0,-36017000000.0,-36017000000.0,-2347000000.0,-3895000000.0,-3895000000.0,-26522000000.0,-26522000000.0,-3253000000.0,997000000.0,997000000.0,-4250000000.0,-4250000000.0,0.0,-127000000.0,-127000000.0,-388000000.0,2412000000.0,15444000000.0,-13032000000.0,-2151000000.0,-2151000000.0,28858000000.0,28858000000.0,1684000000.0,3439000000.0,-1188000000.0,1539000000.0,1539000000.0,1539000000.0,-12000000.0,-2094000000.0,-1030000000.0,7000000.0,2869000000.0,2850000000.0,2850000000.0,21448000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-03-31,26707000000.0,-26522000000.0,-3253000000.0,0.0,-2151000000.0,4699000000.0,26635000000.0,33921000000.0,-7286000000.0,-36017000000.0,-36017000000.0,-2347000000.0,-3895000000.0,-3895000000.0,-26522000000.0,-26522000000.0,-3253000000.0,997000000.0,2000000.0,-4250000000.0,-4250000000.0,0.0,-127000000.0,-127000000.0,-388000000.0,2412000000.0,15444000000.0,-13032000000.0,-2151000000.0,-2151000000.0,28858000000.0,28858000000.0,1684000000.0,3439000000.0,-1188000000.0,1539000000.0,1539000000.0,1539000000.0,-12000000.0,-2094000000.0,-1030000000.0,7000000.0,2869000000.0,2850000000.0,2850000000.0,21448000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLY,2025-06-30,-134000000.0,-1000000.0,-1538000000.0,929000000.0,-1081000000.0,95000000.0,11508000000.0,11417000000.0,81000000.0,-3775000000.0,-3775000000.0,,-120000000.0,-92000000.0,-1000000.0,-1000000.0,-92000000.0,517000000.0,,-609000000.0,-1538000000.0,929000000.0,2909000000.0,2909000000.0,-147000000.0,1138000000.0,2383000000.0,-1245000000.0,-309000000.0,-1081000000.0,947000000.0,947000000.0,-140000000.0,22000000.0,-25000000.0,-42000000.0,-42000000.0,-42000000.0,,,,79000000.0,,329000000.0,329000000.0,352000000.0,1615000000.0,10000000.0,-28000000.0,2412000000.0,2412000000.0,772000000.0,-24000000.0,-34000000.0,0.0,-23000000.0,-27000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLY,2025-03-31,121000000.0,-34000000.0,-1074000000.0,24000000.0,-819000000.0,13000000.0,11417000000.0,11380000000.0,37000000.0,438000000.0,438000000.0,,-128000000.0,-100000000.0,-34000000.0,-34000000.0,664000000.0,1714000000.0,,-1050000000.0,-1074000000.0,24000000.0,-1341000000.0,-1341000000.0,-151000000.0,-751000000.0,3342000000.0,-4093000000.0,-138000000.0,-819000000.0,940000000.0,940000000.0,-243000000.0,-137000000.0,-128000000.0,64000000.0,64000000.0,64000000.0,,,,53000000.0,,361000000.0,361000000.0,-225000000.0,1587000000.0,0.0,-28000000.0,0.0,0.0,681000000.0,136000000.0,12000000.0,305000000.0,486000000.0,487000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLY,2024-12-31,-297000000.0,-7000000.0,-801000000.0,1471000000.0,-917000000.0,41000000.0,11380000000.0,9304000000.0,2085000000.0,-72000000.0,-72000000.0,,-119000000.0,-92000000.0,-7000000.0,-7000000.0,524000000.0,-146000000.0,,670000000.0,-801000000.0,1471000000.0,1537000000.0,1537000000.0,-147000000.0,569000000.0,994000000.0,-509000000.0,109000000.0,-917000000.0,620000000.0,620000000.0,-166000000.0,257000000.0,254000000.0,-535000000.0,-535000000.0,-535000000.0,,,,-36000000.0,,269000000.0,269000000.0,-140000000.0,2311000000.0,-9000000.0,-27000000.0,0.0,0.0,1026000000.0,93000000.0,47000000.0,305000000.0,-29000000.0,-23000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLY,2024-09-30,254000000.0,-1000000.0,-1508000000.0,2317000000.0,-934000000.0,49000000.0,9304000000.0,8124000000.0,1178000000.0,-874000000.0,-874000000.0,,-119000000.0,-92000000.0,-1000000.0,-1000000.0,-542000000.0,-1351000000.0,,809000000.0,-1508000000.0,2317000000.0,864000000.0,864000000.0,-121000000.0,593000000.0,982000000.0,-389000000.0,-316000000.0,-934000000.0,1188000000.0,1188000000.0,-383000000.0,-245000000.0,-365000000.0,277000000.0,277000000.0,277000000.0,,,,212000000.0,,348000000.0,348000000.0,446000000.0,1588000000.0,2000000.0,-27000000.0,0.0,0.0,618000000.0,34000000.0,-58000000.0,305000000.0,-22000000.0,-16000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
