ticker,date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Interest Income,Interest Expense,Interest Income,Rent Expense Supplemental,Preferred Stock Dividends,Net Income Discontinuous Operations,Special Income Charges,Impairment Of Capital Assets,Gain On Sale Of Security,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Depreciation Income Statement,Selling And Marketing Expense,General And Administrative Expense,Insurance And Claims,Rent And Landing Fees,Salaries And Wages,Professional Expense And Contract Services Expense,Other Non Interest Expense,Earnings From Equity Interest Net Of Tax,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Other Operating Expenses,Other Gand A,Minority Interests,Gain On Sale Of Business,Other Special Charges,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Otherunder Preferred Stock Dividend,Average Dilution Earnings,Occupancy And Equipment,Gain On Sale Of Ppe,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Other Taxes,Write Off,Total Other Finance Cost,Excise Taxes
AAPL,2025-06-30,0.0,0.163997,31032000000.0,23434000000.0,2830000000.0,50318000000.0,31032000000.0,28202000000.0,23434000000.0,23434000000.0,65834000000.0,28202000000.0,14948179000.0,14902886000.0,1.57,1.57,23434000000.0,23434000000.0,23434000000.0,23434000000.0,23434000000.0,4597000000.0,28031000000.0,-171000000.0,-171000000.0,28202000000.0,15516000000.0,8866000000.0,6650000000.0,43718000000.0,50318000000.0,94036000000.0,94036000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2025-03-31,0.0,0.155,32250000000.0,24780000000.0,2661000000.0,50492000000.0,32250000000.0,29589000000.0,24780000000.0,24780000000.0,65770000000.0,29589000000.0,15056133000.0,14994082000.0,1.65,1.65,24780000000.0,24780000000.0,24780000000.0,24780000000.0,24780000000.0,4530000000.0,29310000000.0,-279000000.0,-279000000.0,29589000000.0,15278000000.0,8550000000.0,6728000000.0,44867000000.0,50492000000.0,95359000000.0,95359000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-12-31,0.0,0.147,45912000000.0,36330000000.0,3080000000.0,66025000000.0,45912000000.0,42832000000.0,36330000000.0,36330000000.0,81468000000.0,42832000000.0,15150865000.0,15081724000.0,2.4,2.41,36330000000.0,36330000000.0,36330000000.0,36330000000.0,36330000000.0,6254000000.0,42584000000.0,-248000000.0,-248000000.0,42832000000.0,15443000000.0,8268000000.0,7175000000.0,58275000000.0,66025000000.0,124300000000.0,124300000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-09-30,0.0,0.21,32502000000.0,14736000000.0,2911000000.0,51051000000.0,32502000000.0,29591000000.0,14736000000.0,14736000000.0,65339000000.0,29591000000.0,15242853000.0,15171990000.0,0.97,0.97,14736000000.0,14736000000.0,14736000000.0,14736000000.0,14736000000.0,14874000000.0,29610000000.0,19000000.0,19000000.0,29591000000.0,14288000000.0,7765000000.0,6523000000.0,43879000000.0,51051000000.0,94930000000.0,94930000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-06-30,0.0,0.159,28202000000.0,21448000000.0,2850000000.0,46099000000.0,28202000000.0,25352000000.0,21448000000.0,21448000000.0,60425000000.0,25352000000.0,15348175000.0,15287521000.0,1.4,1.4,21448000000.0,21448000000.0,21448000000.0,21448000000.0,21448000000.0,4046000000.0,25494000000.0,142000000.0,142000000.0,25352000000.0,14326000000.0,8006000000.0,6320000000.0,39678000000.0,46099000000.0,85777000000.0,85777000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLY,2025-06-30,0.0,0.192661,,352000000.0,329000000.0,,,,352000000.0,352000000.0,,,312434000.0,309895000.0,1.04,1.05,324000000.0,324000000.0,352000000.0,352000000.0,352000000.0,84000000.0,436000000.0,,,,,,853000000.0,,,2283000000.0,2283000000.0,0.0,0.0,1732000000.0,1593000000.0,3325000000.0,,28000000.0,,0.0,0.0,61000000.0,277000000.0,277000000.0,0.0,0.0,277000000.0,65000000.0,788000000.0,358000000.0,,430000000.0,36000000.0,312000000.0,,,,,,,,,,,,,,,,,,,,,,
ALLY,2025-03-31,-63362676.056338,0.207746,,-225000000.0,361000000.0,,,,16637323.943662,-225000000.0,,,309006000.0,309006000.0,-0.82,-0.82,-253000000.0,-253000000.0,-225000000.0,-225000000.0,-225000000.0,-59000000.0,-284000000.0,,,,,,888000000.0,,,1755000000.0,1755000000.0,-305000000.0,-305000000.0,1718000000.0,1675000000.0,3393000000.0,,28000000.0,,-305000000.0,305000000.0,-499000000.0,306000000.0,306000000.0,3000000.0,3000000.0,303000000.0,61000000.0,827000000.0,322000000.0,,505000000.0,31000000.0,344000000.0,,,,,,,,,,,,,,,,,,,,,,
ALLY,2024-12-31,0.0,0.21,,-139000000.0,269000000.0,,,,-139000000.0,-140000000.0,,,311277000.0,307553000.0,0.26,0.26,-167000000.0,-167000000.0,-140000000.0,-140000000.0,-139000000.0,314000000.0,175000000.0,,,,,,787000000.0,,,2240000000.0,2240000000.0,-305000000.0,-305000000.0,1729000000.0,1799000000.0,3528000000.0,,27000000.0,-1000000.0,-305000000.0,305000000.0,-21000000.0,213000000.0,213000000.0,4000000.0,4000000.0,209000000.0,64000000.0,723000000.0,277000000.0,,446000000.0,41000000.0,355000000.0,,,,,,,,,,,,,,,,,,,,,,
ALLY,2024-09-30,0.0,0.21,,357000000.0,348000000.0,,,,357000000.0,357000000.0,,,311044000.0,307312000.0,1.06,1.07,330000000.0,330000000.0,357000000.0,357000000.0,357000000.0,-124000000.0,233000000.0,,,,,,803000000.0,,,2294000000.0,2294000000.0,-305000000.0,-305000000.0,1689000000.0,1885000000.0,3574000000.0,,27000000.0,0.0,-305000000.0,305000000.0,74000000.0,260000000.0,260000000.0,4000000.0,4000000.0,256000000.0,69000000.0,734000000.0,299000000.0,,435000000.0,36000000.0,327000000.0,,,,,,,,,,,,,,,,,,,,,,
ALLY,2024-06-30,0.0,0.215054,,219000000.0,272000000.0,,,,219000000.0,219000000.0,,,309886000.0,306774000.0,0.62,0.63,191000000.0,191000000.0,219000000.0,219000000.0,219000000.0,60000000.0,279000000.0,,,,,,863000000.0,,,2165000000.0,2165000000.0,0.0,0.0,1672000000.0,1866000000.0,3538000000.0,43000000.0,28000000.0,0.0,0.0,0.0,-7000000.0,217000000.0,217000000.0,5000000.0,5000000.0,212000000.0,79000000.0,784000000.0,342000000.0,43000000.0,442000000.0,39000000.0,322000000.0,,,,,,,,,,,,,,,,,,,,,,
ALLY,2024-03-31,0.0,0.215054,,219000000.0,272000000.0,,,,219000000.0,219000000.0,,,309886000.0,306774000.0,0.62,0.63,191000000.0,191000000.0,219000000.0,219000000.0,219000000.0,60000000.0,279000000.0,,,,,,863000000.0,,,2165000000.0,2165000000.0,0.0,0.0,1672000000.0,1866000000.0,3538000000.0,48000000.0,28000000.0,0.0,0.0,0.0,-7000000.0,217000000.0,217000000.0,5000000.0,5000000.0,212000000.0,79000000.0,784000000.0,342000000.0,48000000.0,442000000.0,39000000.0,322000000.0,,,,,,,,,,,,,,,,,,,,,,
ALLY,2023-12-31,0.0,0.215054,,219000000.0,272000000.0,,,,219000000.0,219000000.0,,,309886000.0,306774000.0,0.62,0.63,191000000.0,191000000.0,219000000.0,219000000.0,219000000.0,60000000.0,279000000.0,,,,,,863000000.0,,,2165000000.0,2165000000.0,0.0,0.0,1672000000.0,1866000000.0,3538000000.0,52000000.0,28000000.0,-1000000.0,0.0,0.0,-7000000.0,217000000.0,217000000.0,5000000.0,5000000.0,212000000.0,79000000.0,784000000.0,342000000.0,52000000.0,442000000.0,39000000.0,322000000.0,,,,,,,,,,,,,,,,,,,,,,
AMZN,2025-06-30,143677518.339167,0.128398,35481000000.0,18164000000.0,15227000000.0,80809000000.0,36600000000.0,21373000000.0,17188677518.33917,18164000000.0,148531000000.0,19171000000.0,10806000000.0,10637000000.0,1.68,1.71,18164000000.0,18164000000.0,18164000000.0,18164000000.0,18164000000.0,2678000000.0,20857000000.0,1117000000.0,-2000000.0,19171000000.0,67722000000.0,,14381000000.0,86893000000.0,80809000000.0,167702000000.0,167702000000.0,1119000000.0,1119000000.0,569000000.0,516000000.0,1085000000.0,,,,,,1119000000.0,,,,,,11416000000.0,2965000000.0,,,,,,-15000000.0,569000000.0,516000000.0,1085000000.0,53341000000.0,2965000000.0,,,,,,,,,,,,,,,,
AMZN,2025-03-31,584272614.050464,0.210019,33700000000.0,17127000000.0,14262000000.0,76976000000.0,36482000000.0,22220000000.0,14929272614.050465,17127000000.0,137262000000.0,18405000000.0,10793000000.0,10603000000.0,1.59,1.62,17127000000.0,17127000000.0,17127000000.0,17127000000.0,17127000000.0,4553000000.0,21679000000.0,2749000000.0,-33000000.0,18405000000.0,60286000000.0,,12391000000.0,78691000000.0,76976000000.0,155667000000.0,155667000000.0,2782000000.0,2782000000.0,525000000.0,541000000.0,1066000000.0,,,,,,2782000000.0,,,,,,9763000000.0,2628000000.0,,,,,,1000000.0,525000000.0,541000000.0,1066000000.0,47895000000.0,2628000000.0,,,,,,,,,,,,,,,,
AMZN,2024-12-31,59714081.166943,0.104032,37976000000.0,20004000000.0,15631000000.0,98893000000.0,38550000000.0,22919000000.0,19489714081.166943,20004000000.0,166589000000.0,21203000000.0,10771000000.0,10552000000.0,1.86,1.9,20004000000.0,20004000000.0,20004000000.0,20004000000.0,20004000000.0,2325000000.0,22349000000.0,468000000.0,-106000000.0,21203000000.0,67696000000.0,,15987000000.0,88899000000.0,98893000000.0,187792000000.0,187792000000.0,574000000.0,574000000.0,678000000.0,570000000.0,1248000000.0,,,,,,574000000.0,,,,,,13124000000.0,2863000000.0,,,,,,-20000000.0,678000000.0,570000000.0,1248000000.0,51709000000.0,2863000000.0,,,,,,,,,,,,,,,,
